"ID","Description","p.adjust","qvalue","geneID","Count","moduleNumber"
"GO:0043228","non-membrane-bounded organelle",1.93032296964921e-17,1.53632893604944e-17,"MYCGRDRAFT_102005/MYCGRDRAFT_102027/MYCGRDRAFT_98180/MYCGRDRAFT_78124/MYCGRDRAFT_102127/MYCGRDRAFT_89043/MYCGRDRAFT_102197/MYCGRDRAFT_34437/MYCGRDRAFT_102281/MYCGRDRAFT_78410/MYCGRDRAFT_98428/MYCGRDRAFT_102365/MYCGRDRAFT_102384/MYCGRDRAFT_102406/MYCGRDRAFT_83768/MYCGRDRAFT_66222/MYCGRDRAFT_53300/MYCGRDRAFT_32304/MYCGRDRAFT_66529/MYCGRDRAFT_31968/MYCGRDRAFT_102737/MYCGRDRAFT_102740/MYCGRDRAFT_78914/MYCGRDRAFT_67117/MYCGRDRAFT_102848/MYCGRDRAFT_102881/MYCGRDRAFT_31905/MYCGRDRAFT_102922/MYCGRDRAFT_98880/MYCGRDRAFT_105843/ACT/MYCGRDRAFT_101774/MYCGRDRAFT_101782/MYCGRDRAFT_106407/MYCGRDRAFT_50274/MYCGRDRAFT_106485/MYCGRDRAFT_106489/MYCGRDRAFT_77845/MYCGRDRAFT_106533/MYCGRDRAFT_67867/MYCGRDRAFT_54826/MYCGRDRAFT_103162/MYCGRDRAFT_99059/MYCGRDRAFT_99145/MYCGRDRAFT_99159/MYCGRDRAFT_103329/MYCGRDRAFT_103339/MYCGRDRAFT_68767/MYCGRDRAFT_55708/MYCGRDRAFT_103406/MYCGRDRAFT_103449/MYCGRDRAFT_39804/MYCGRDRAFT_103683/MYCGRDRAFT_56675/MYCGRDRAFT_85212/MYCGRDRAFT_69992/MYCGRDRAFT_103824/MYCGRDRAFT_108724/MYCGRDRAFT_39509/MYCGRDRAFT_57354/MYCGRDRAFT_70471/MYCGRDRAFT_104028/MYCGRDRAFT_104063/MYCGRDRAFT_80351/MYCGRDRAFT_104155/MYCGRDRAFT_80478/MYCGRDRAFT_104297/MYCGRDRAFT_104360/MYCGRDRAFT_42422/MYCGRDRAFT_104579/MYCGRDRAFT_104624/MYCGRDRAFT_104664/MYCGRDRAFT_80995/MYCGRDRAFT_27796/MYCGRDRAFT_74418/MYCGRDRAFT_74429/MYCGRDRAFT_105388/MYCGRDRAFT_74750/MYCGRDRAFT_105463/MYCGRDRAFT_100974/MYCGRDRAFT_105557/MYCGRDRAFT_105646/MYCGRDRAFT_28593/MYCGRDRAFT_47713/MYCGRDRAFT_75672/MYCGRDRAFT_62534",86,"M2"
"GO:0043232","intracellular non-membrane-bounded organelle",1.93032296964921e-17,1.53632893604944e-17,"MYCGRDRAFT_102005/MYCGRDRAFT_102027/MYCGRDRAFT_98180/MYCGRDRAFT_78124/MYCGRDRAFT_102127/MYCGRDRAFT_89043/MYCGRDRAFT_102197/MYCGRDRAFT_34437/MYCGRDRAFT_102281/MYCGRDRAFT_78410/MYCGRDRAFT_98428/MYCGRDRAFT_102365/MYCGRDRAFT_102384/MYCGRDRAFT_102406/MYCGRDRAFT_83768/MYCGRDRAFT_66222/MYCGRDRAFT_53300/MYCGRDRAFT_32304/MYCGRDRAFT_66529/MYCGRDRAFT_31968/MYCGRDRAFT_102737/MYCGRDRAFT_102740/MYCGRDRAFT_78914/MYCGRDRAFT_67117/MYCGRDRAFT_102848/MYCGRDRAFT_102881/MYCGRDRAFT_31905/MYCGRDRAFT_102922/MYCGRDRAFT_98880/MYCGRDRAFT_105843/ACT/MYCGRDRAFT_101774/MYCGRDRAFT_101782/MYCGRDRAFT_106407/MYCGRDRAFT_50274/MYCGRDRAFT_106485/MYCGRDRAFT_106489/MYCGRDRAFT_77845/MYCGRDRAFT_106533/MYCGRDRAFT_67867/MYCGRDRAFT_54826/MYCGRDRAFT_103162/MYCGRDRAFT_99059/MYCGRDRAFT_99145/MYCGRDRAFT_99159/MYCGRDRAFT_103329/MYCGRDRAFT_103339/MYCGRDRAFT_68767/MYCGRDRAFT_55708/MYCGRDRAFT_103406/MYCGRDRAFT_103449/MYCGRDRAFT_39804/MYCGRDRAFT_103683/MYCGRDRAFT_56675/MYCGRDRAFT_85212/MYCGRDRAFT_69992/MYCGRDRAFT_103824/MYCGRDRAFT_108724/MYCGRDRAFT_39509/MYCGRDRAFT_57354/MYCGRDRAFT_70471/MYCGRDRAFT_104028/MYCGRDRAFT_104063/MYCGRDRAFT_80351/MYCGRDRAFT_104155/MYCGRDRAFT_80478/MYCGRDRAFT_104297/MYCGRDRAFT_104360/MYCGRDRAFT_42422/MYCGRDRAFT_104579/MYCGRDRAFT_104624/MYCGRDRAFT_104664/MYCGRDRAFT_80995/MYCGRDRAFT_27796/MYCGRDRAFT_74418/MYCGRDRAFT_74429/MYCGRDRAFT_105388/MYCGRDRAFT_74750/MYCGRDRAFT_105463/MYCGRDRAFT_100974/MYCGRDRAFT_105557/MYCGRDRAFT_105646/MYCGRDRAFT_28593/MYCGRDRAFT_47713/MYCGRDRAFT_75672/MYCGRDRAFT_62534",86,"M2"
"GO:0022626","cytosolic ribosome",3.8561494991011e-10,3.06907919055544e-10,"MYCGRDRAFT_102197/MYCGRDRAFT_102365/MYCGRDRAFT_83768/MYCGRDRAFT_102737/MYCGRDRAFT_103339/MYCGRDRAFT_103683/MYCGRDRAFT_108724/MYCGRDRAFT_104360/MYCGRDRAFT_42422/MYCGRDRAFT_104664/MYCGRDRAFT_80995/MYCGRDRAFT_105463/MYCGRDRAFT_105557",13,"M2"
"GO:0015934","large ribosomal subunit",1.16028757521952e-09,9.23463795425037e-10,"MYCGRDRAFT_98428/MYCGRDRAFT_102365/MYCGRDRAFT_102406/MYCGRDRAFT_66529/MYCGRDRAFT_102737/MYCGRDRAFT_98880/MYCGRDRAFT_99059/MYCGRDRAFT_103329/MYCGRDRAFT_39804/MYCGRDRAFT_103683/MYCGRDRAFT_56675/MYCGRDRAFT_108724/MYCGRDRAFT_104664/MYCGRDRAFT_105463/MYCGRDRAFT_105646",15,"M2"
"GO:0016469","proton-transporting two-sector ATPase complex",2.81641198403863e-09,2.24156024403588e-09,"MYCGRDRAFT_65322/MYCGRDRAFT_102202/MYCGRDRAFT_107003/MYCGRDRAFT_102469/MYCGRDRAFT_102541/MYCGRDRAFT_66746/MYCGRDRAFT_54447/MYCGRDRAFT_82439/MYCGRDRAFT_106475/MYCGRDRAFT_69273/MYCGRDRAFT_103595/MYCGRDRAFT_104198/MYCGRDRAFT_40224/MYCGRDRAFT_58858/MYCGRDRAFT_72141/MYCGRDRAFT_80934",16,"M2"
"GO:0005739","mitochondrion",1.3756128941616e-08,1.09483953065494e-08,"MYCGRDRAFT_102012/MYCGRDRAFT_102127/MYCGRDRAFT_107003/MYCGRDRAFT_65576/MYCGRDRAFT_65606/MYCGRDRAFT_31400/MYCGRDRAFT_52569/MYCGRDRAFT_52717/MYCGRDRAFT_102303/MYCGRDRAFT_65997/MYCGRDRAFT_66030/MYCGRDRAFT_98472/MYCGRDRAFT_102469/MYCGRDRAFT_66222/MYCGRDRAFT_33213/MYCGRDRAFT_102541/MYCGRDRAFT_66529/MYCGRDRAFT_107387/MYCGRDRAFT_66746/MYCGRDRAFT_53984/MYCGRDRAFT_84244/MYCGRDRAFT_67458/MYCGRDRAFT_102927/MYCGRDRAFT_76112/MYCGRDRAFT_76276/MYCGRDRAFT_76293/IDH2/mdh1/MYCGRDRAFT_82439/MYCGRDRAFT_77325/MYCGRDRAFT_77435/MYCGRDRAFT_82889/MYCGRDRAFT_77629/MYCGRDRAFT_106528/MYCGRDRAFT_103356/MYCGRDRAFT_103362/MYCGRDRAFT_55692/MYCGRDRAFT_103492/MYCGRDRAFT_69273/MYCGRDRAFT_39804/MYCGRDRAFT_108469/MYCGRDRAFT_57074/MYCGRDRAFT_80097/MYCGRDRAFT_39509/MYCGRDRAFT_22400/MYCGRDRAFT_104178/MYCGRDRAFT_71344/MYCGRDRAFT_104260/MYCGRDRAFT_80959/MYCGRDRAFT_104644/MYCGRDRAFT_27796/MYCGRDRAFT_19626/MYCGRDRAFT_45721/MYCGRDRAFT_105540/MYCGRDRAFT_61838/MYCGRDRAFT_105721/MYCGRDRAFT_62534",57,"M2"
"GO:1990904","ribonucleoprotein complex",1.401734219005e-08,1.1156292885534e-08,"MYCGRDRAFT_65114/MYCGRDRAFT_102197/MYCGRDRAFT_65878/MYCGRDRAFT_98428/MYCGRDRAFT_102365/MYCGRDRAFT_102406/MYCGRDRAFT_83768/MYCGRDRAFT_66529/MYCGRDRAFT_31968/MYCGRDRAFT_102737/MYCGRDRAFT_78925/MYCGRDRAFT_98880/MYCGRDRAFT_101353/MYCGRDRAFT_101457/MYCGRDRAFT_106350/MYCGRDRAFT_101782/MYCGRDRAFT_106533/MYCGRDRAFT_99059/MYCGRDRAFT_103329/MYCGRDRAFT_103339/MYCGRDRAFT_84746/MYCGRDRAFT_55886/MYCGRDRAFT_39804/MYCGRDRAFT_103683/MYCGRDRAFT_56675/MYCGRDRAFT_108724/MYCGRDRAFT_104360/MYCGRDRAFT_42422/MYCGRDRAFT_104520/MYCGRDRAFT_104664/MYCGRDRAFT_80995/MYCGRDRAFT_105463/MYCGRDRAFT_105557/MYCGRDRAFT_105646/MYCGRDRAFT_28593/MYCGRDRAFT_75672/MYCGRDRAFT_62534",37,"M2"
"GO:0005743","mitochondrial inner membrane",1.42644824209782e-08,1.13529898600854e-08,"MYCGRDRAFT_107003/MYCGRDRAFT_65576/MYCGRDRAFT_65606/MYCGRDRAFT_31400/MYCGRDRAFT_52569/MYCGRDRAFT_52717/MYCGRDRAFT_65997/MYCGRDRAFT_66030/MYCGRDRAFT_98472/MYCGRDRAFT_102469/MYCGRDRAFT_33213/MYCGRDRAFT_102541/MYCGRDRAFT_66746/MYCGRDRAFT_84244/MYCGRDRAFT_102927/MYCGRDRAFT_76276/MYCGRDRAFT_82439/MYCGRDRAFT_77325/MYCGRDRAFT_82889/MYCGRDRAFT_106528/MYCGRDRAFT_103492/MYCGRDRAFT_69273/MYCGRDRAFT_108469/MYCGRDRAFT_57074/MYCGRDRAFT_80097/MYCGRDRAFT_22400/MYCGRDRAFT_71344/MYCGRDRAFT_104644/MYCGRDRAFT_19626/MYCGRDRAFT_45721/MYCGRDRAFT_105540/MYCGRDRAFT_61838",32,"M2"
"GO:0019866","organelle inner membrane",2.2244943653834e-08,1.77045764638987e-08,"MYCGRDRAFT_107003/MYCGRDRAFT_65576/MYCGRDRAFT_65606/MYCGRDRAFT_31400/MYCGRDRAFT_52569/MYCGRDRAFT_52717/MYCGRDRAFT_65997/MYCGRDRAFT_66030/MYCGRDRAFT_98472/MYCGRDRAFT_102469/MYCGRDRAFT_33213/MYCGRDRAFT_102541/MYCGRDRAFT_66746/MYCGRDRAFT_84244/MYCGRDRAFT_102927/MYCGRDRAFT_76276/MYCGRDRAFT_82439/MYCGRDRAFT_77325/MYCGRDRAFT_82889/MYCGRDRAFT_106528/MYCGRDRAFT_103492/MYCGRDRAFT_69273/MYCGRDRAFT_108469/MYCGRDRAFT_57074/MYCGRDRAFT_80097/MYCGRDRAFT_22400/MYCGRDRAFT_71344/MYCGRDRAFT_104644/MYCGRDRAFT_19626/MYCGRDRAFT_45721/MYCGRDRAFT_105540/MYCGRDRAFT_61838",32,"M2"
"GO:0015935","small ribosomal subunit",2.2244943653834e-08,1.77045764638987e-08,"MYCGRDRAFT_102197/MYCGRDRAFT_83768/MYCGRDRAFT_31968/MYCGRDRAFT_101782/MYCGRDRAFT_106533/MYCGRDRAFT_103339/MYCGRDRAFT_104360/MYCGRDRAFT_42422/MYCGRDRAFT_80995/MYCGRDRAFT_105557/MYCGRDRAFT_28593/MYCGRDRAFT_62534",12,"M2"
"GO:0005740","mitochondrial envelope",5.42912387502254e-08,4.32099717909368e-08,"MYCGRDRAFT_102012/MYCGRDRAFT_107003/MYCGRDRAFT_65576/MYCGRDRAFT_65606/MYCGRDRAFT_31400/MYCGRDRAFT_52569/MYCGRDRAFT_52717/MYCGRDRAFT_65997/MYCGRDRAFT_66030/MYCGRDRAFT_98472/MYCGRDRAFT_102469/MYCGRDRAFT_33213/MYCGRDRAFT_102541/MYCGRDRAFT_66746/MYCGRDRAFT_84244/MYCGRDRAFT_102927/MYCGRDRAFT_76112/MYCGRDRAFT_76276/MYCGRDRAFT_82439/MYCGRDRAFT_77325/MYCGRDRAFT_77435/MYCGRDRAFT_82889/MYCGRDRAFT_106528/MYCGRDRAFT_103356/MYCGRDRAFT_55692/MYCGRDRAFT_103492/MYCGRDRAFT_69273/MYCGRDRAFT_108469/MYCGRDRAFT_57074/MYCGRDRAFT_80097/MYCGRDRAFT_22400/MYCGRDRAFT_71344/MYCGRDRAFT_104644/MYCGRDRAFT_19626/MYCGRDRAFT_45721/MYCGRDRAFT_105540/MYCGRDRAFT_61838",37,"M2"
"GO:0045259","proton-transporting ATP synthase complex",7.93869015943328e-08,6.31834133356692e-08,"MYCGRDRAFT_107003/MYCGRDRAFT_102469/MYCGRDRAFT_102541/MYCGRDRAFT_66746/MYCGRDRAFT_82439/MYCGRDRAFT_106475/MYCGRDRAFT_69273/MYCGRDRAFT_103595/MYCGRDRAFT_104198/MYCGRDRAFT_80934",10,"M2"
